项目名称,项目简介,主要产品,业主方,所在地,行业,大类
武汉新洲挖沟110千伏输变电工程,"['该项目位于湖北省武汉市，由湖北省电力公司武汉供电公司投资建设， 本工程包括新建110kV挖沟变电站工程、新建110kV配套线路工程、及扩建对侧220kV金台变电站间隔工程。 ①新建110kV挖沟变电站工程：拟建的110kV挖沟变电站站址位于武汉新洲区龙王咀农场四队，邻近阳大公路，变电站采用户外布置，本期装设2×50MVA主变压器，变电站围墙内占地面积5200平方米。 ②新建110kV配套线路工程：新建台鄢Ⅱ回110kV同塔双回单边挂线架空线路，线路全长6.4km；新建台鄢挖Ⅰ、Ⅱ回架空线路，线路全长2×17km，线路全部位于新洲区境内。 ③扩建对侧220kV金台变电站间隔工程：扩建220kV金台变电站110kV间隔2个。', '项目总投资5000万元。']",新建110kV挖沟变电站本期装设2×50MVA主变压器。 ②新建110kV配套线路全长6.4km；新建台鄢挖Ⅰ、Ⅱ回架空线路全长2×17km。 ③扩建220kV金台变电站110kV间隔2个。,['湖北省电力公司武汉供电公司'],湖北省武汉市,电力,电力
孝感应城220千伏彭湾变电站增容工程,"['该项目位于湖北省应城市，由湖北省电力公司孝感供电公司投资建设，更换220kV彭湾变电站150MVA #1主变为240MVA，主变电压等级为220/110/10kV。本次扩建工程在彭湾变电站原有站址上进行，原有站址能满足扩建需要，不需要征地。主变压器户外布置。', '项目总投资1000万元。']",更换220kV彭湾变电站150MVA #1主变为240MVA，主变电压等级为220/110/10kV。,['湖北省电力公司孝感供电公司'],湖北省应城市,电力,电力
黄石大冶铜山口110千伏变电站扩建工程,"['该项目位于湖北省黄石市，由湖北省电力公司黄石供电公司投资建设， 扩建铜山口110kV变电站，本期扩建2#主变压器，容量为40MVA。', '项目总投资1000万元。']",扩建铜山口110kV变电站，本期扩建2#主变压器，容量为40MVA。,['湖北省电力公司黄石供电公司'],湖北省黄石市,电力,电力
雅安～皖南1000千伏交流特高压输变电工程,"['该项目位于四川省、重庆市、湖北省、安徽省，由国家电网公司投资建设， 雅安～皖南1000kV特高压交流输变电工程包括新建雅安变电站、乐山变电站、重庆变电站、万县开关站、扩建荆门变电站、新建武汉变电站、扩建皖南变电站，共7座变电站/开关站（新建5座、扩建2座），新建雅安～乐山～重庆～万县～荆门～武汉～皖南1000kV同塔双回线路1767.7km。工程途经四川、重庆、湖北、安徽4个省级行政区。', '系统组成①新建雅安～乐山～重庆～万县～荆门～武汉～皖南特高压1000kV双回线路1767.7km ②新建1000kV雅安变电站 ③新建1000kV乐山变电站 ④新建1000kV重庆变电站 ⑤新建1000kV武汉变电站 ⑥新建1000kV万县开关站 ⑦扩建1000kV荆门变电站 ⑧扩建1000kV皖南变电站 输电 线路电压等级\u30001000kV\u3000 输送容量1200万kW 路径长度1767.7km 选用导线LGJ－630/45 \u3000本期远期 变 电 站雅 安 变 电 站变压器2×3000MW4×3000MW 出线回路1000kV：2回 500kV：6回\u30001000kV：共8回 500kV：共12回 高抗\u30001000kV：2×360Mvar 500kV：不装设\u3000\u30001000kV：每回预留1组 500kV：预留10回高抗位置 低压无功补偿本期每组变压器装设1×24万kVar低抗，4×21万kVar低容每组变压器规划装设4组低抗和4组低容；并预留建设1组42万kVar容量的SVC位置的可能性 乐 山 变 电 站变压器2×3000MW4×3000MW 出线回路1000kV：4回 500kV：4回\u30001000kV：共12回 500kV：共12回 高抗\u30001000kV：2×480Mvar 500kV：不装设\u3000\u30001000kV：每回预留1组 500kV：不装设 低压无功补偿本期每组变压器考虑装设2×24万kVar低抗，2×21万kVar低容每组变压器规划装设4组低抗和4组低容，并预留建设1组420Mvar容量的SVC位置的可能性 重 庆 变 电 站变压器2×3000MW4×3000MW 出线回路1000kV：4回 500kV：4回\u30001000kV：共8回 500kV：共12回 高抗\u30001000kV：4×480Mvar 500kV：不装设\u3000\u30001000kV：每回预留1组 500kV：不装设 低压无功补偿本期每组变压器暂考虑装设2×24万kVar低抗，4×21万kVar低容最终每台主变每组变压器规划装设4组低抗和4组低容，并预留建设1组420Mvar容量的SVC位置的可能性 万 县 开 关 站变压器本期为开关站4×3000MW 出线回路1000kV：4回 500kV：无\u30001000kV：共10回 500kV：共10回 高抗\u30001000kV：6×600Mvar 500kV：不装设1000kV：每回预留1组（备用为两组） 500kV：除至万县、长寿变的两回线外，其余线路均需预留高抗位置。 低压无功补偿无每组变压器规划装设4组低抗和4组低容，并预留建设1组420Mvar容量的SVC位置的可能性 荆 门 变 电 站变压器已建2×3000MW，本期无3×3000MW 出线回路1000kV：已建5回，本期4回 500kV：已建6回，本期无\u30001000kV：共10回 500kV：共10回 高抗\u30001000kV：3×960Mvar 500kV：不装设1000kV：每回预留1组 500kV：远期预留2组母线高抗 低压无功补偿4×24万kVar低抗每组主变低压侧预留4组低容和4组低抗 武 汉 变 电 站变压器1×4500MW4×3000MW 出线回路1000kV：4回 500kV：4回\u30001000kV：共10回 500kV：共10回 高抗\u30001000kV：2×960Mvar 500kV：不装设1000kV：每回预留1组（除至荆门的一回外） 500kV：6回备用出线每回均考虑预留1组高抗及中性点小电抗位置，其余出线暂不考虑装设高抗 低压无功补偿4组24万kVar低抗及6组21万kVar低容每组主变低压侧预留4～6组低容和4组低抗 皖 南 变 电 站变压器本期为开关站3×3000MW 出线回路1000kV：已建4回，本期2回 500kV：无\u30001000kV：共8回 500kV：共8回 高抗\u30001000kV：2×960Mvar1000kV：在远景备用出线高抗位置，配置1组60万kVar高抗接入皖南站母线。', '项目总投资2800000万元。']",新建雅安变电站、乐山变电站、重庆变电站、万县开关站、扩建荆门变电站、新建武汉变电站、扩建皖南变电站，共7座变电站/开关站（新建5座、扩建2座），新建雅安～乐山～重庆～万县～荆门～武汉～皖南1000kV同塔双回线路1767.7km。工程途经四川、重庆、湖北、安徽4个省级行政区。,['中国国家电网公司'],四川省、重庆市、湖北省、安徽省,电力,电力
咸宁通山110千伏大盘龙输变电工程（更新）,"['该项目位于湖北省咸宁市通山县大路乡宋家祠大盘龙工业园区内的东南处，由咸宁供电公司投资建设，本期新上2台63MVA主变压器。 新建110kV线路2回，即从220kV吴田变出线至110kV大盘龙变，线路全长8公里，同杆双回架设。线路从220kV吴田变出线后，大角度右转，跨咸通公路后左转，上东头庙的小山头再右转，至山口宋处大角度左转，至宋家龙左转，行进至寺下五处右转，跨106公路至白家垄处，从北面进入拟新建的110kV大盘龙变电站。', '项目总投资1000万元。']",本期新上2台63MVA主变压器。 新建110kV线路2回，即从220kV吴田变出线至110kV大盘龙变，线路全长8公里，同杆双回架设。,['咸宁供电公司'],湖北省咸宁市通山县大路乡宋家祠大盘龙工业园区内的东南处,电力,电力
仙桃毛嘴110千伏变电站扩建工程（更新）,"['该项目位于湖北省仙桃市毛嘴镇，由湖北省电力公司荆州供电公司投资建设， ①扩建110kV毛嘴变电站#2主变一台。站址位于仙桃市毛嘴镇，本次扩建工程在毛嘴变电站原有站址上进行，原有站址能满足扩建需要，不需要征地。原有主变容量31.5 MVA，本期扩建新增主变50 MVA，主变压器户外布置。 ②扩建#2主变间隔一个。', '项目总投资1000万元。']",本期扩建新增主变50 MVA。扩建#2主变间隔一个。,['湖北省电力公司荆州供电公司'],湖北省仙桃市毛嘴镇,电力,电力
宣汉500千伏输变电工程,"['该项目位于四川省，由四川省电力公司投资建设，①宣汉500kV变电站新建工程；②达州500kV变电站扩建工程；③宣汉～达州500kV线路工程：全长86km（同塔双回架设）。包括： ①宣汉500kV变电站新建工程； ②达州500kV变电站扩建工程； ③宣汉～达州500kV线路工程：全长86km（同塔双回架设）。 工程地理位置宣汉500kV输变电工程位于达州境内。 线路杆塔型式及导线排列方式垂直逆相序排列的系列塔型 线路导线类型4×JL/G1A-500/45-48/7 1.1\u3000宣汉500kV变电站新建工程 （1）主变压器 本期：2×1000MVA；采用三相自耦可拆现场组装无载调压变压器； 最终：3×1000MVA。 （2）500kV出线 本期2回出线，至达州变2回。 最终6回出线，至达州变2回、备用4回。 （3）220kV出线 本期7回出线，分别为至复兴1回，柳池2回，至宣汉北2回，至盖家坪2回。 最终14回出线，分别为至复兴1回，柳池2回，至宣汉北2回，至盖家坪2回、备用7回。 （4）500kV高压电抗器 本期规模：无。 最终规模：远期向北备用2回500kV出线预留线路高抗位置。 （5）低压无功补偿装置 本期规模：低压并联电容器：2×（2×60）Mvar； 低压并联电抗器：2×（2×60）Mvar； 最终规模：低压并联电容器：3×（3×60）Mvar； 低压并联电抗器：3×（3×60）Mvar。 1.2\u3000达州500kV变电站扩建工程 本期扩建至宣汉变500kV出线间隔2个。 1.3\u3000宣汉～达州500kV线路工程 线路东方案从拟建宣汉500kV变电站向西南出线，出线后即左转向东南，跨过210国道、襄渝铁路及其复线后，向南走线，避开方斗农业园及柳池工业园，跨过在建达陕高速公路后，线路继续向南前进，避开明月乡场镇区，并在其附近跨越江口～三里坪110kV线，此后线路右转向西南，避开杨家河亲水栈道并跨过州河，经盘石乡跨过达万高速及明月江，避开右侧小河嘴煤矿及雷音铺省级森林公园，在江阳乡段跨越达万铁路、省道202、3条110kV线路(亭三线、亭垭亭盘同塔线、亭堰线)、3条220 kV(亭通I回、亭通II回、亭达线)后，线路右转向西南，在石板镇一带穿越宝康煤矿，经百节跨过硐宝河后线路绕开达县临港产业园及达县规划机场观音沟场址折向西北，在赵家场镇段跨过达州～余家220kV、达渝高速、210国道及达州～大竹110kV后进入双庙乡境内，线路在绕开临港产业园后进入木子乡500kV达州变。 线路最高海拔900m，线路长度86km，曲折系数1.48，途经宣汉县、通川区和达县。', '项目总投资18000万元。']",①宣汉500kV变电站新建工程；②达州500kV变电站扩建工程；③宣汉～达州500kV线路工程：全长86km（同塔双回架设）。,['四川省电力公司'],四川省,电力,电力
同心马高庄330千伏输变电工程,"['该项目位于宁夏回族自治区吴忠市同心县下马高庄乡邱家渠村，由同心龙源联创电力有限责任公司投资建设，同心马高庄330kV变电站主变规模为2×240MVA+1×360MVA，本期建设1×240MVA+1×360MVA，均为三项有载调压自耦变压器。330kV出线远景规模1回，本期1回。110kV远景出线10回设计，本期6回；黄河变330kV出线间隔工程远景16回，本期1回；马高庄-黄河330kV工程线路长约115km（2×JL/G1A-400/35）,单线单回路架设，建设杆塔300基。随330kV线路架设2根OPGW光缆，光缆芯数为12芯，光缆架设长约115km。', '项目总投资34039万元。']",同心马高庄330kV变电站主变规模为2×240MVA+1×360MVA，本期建设1×240MVA+1×360MVA。马高庄-黄河330kV工程线路长约115km（2×JL/G1A-400/35）。,['同心龙源联创电力有限责任公司'],宁夏回族自治区吴忠市同心县下马高庄乡邱家渠村,电力,电力
金风天润达坂城200兆瓦风电项目,"['该项目位于新疆维吾尔自治区新疆乌鲁木齐市乌鲁木齐县和达坂城区境内，由乌鲁木齐金风天润风电有限公司投资建设，规划建设200MW风电场，安装80台单机容量为2500kW的WTG90-2500型风力发电机组，配套安装80台容量为2800kVA的箱式变压器；新建一座220kV风电汇集站，内分为生产区与生活区，生产区主要布置35kV配电装置室、主变压器等高压配电构筑物、SVC电容补偿装置区、事故油池等送配电建、构筑物；生活区主要布置生产综合楼、附属用房(综合水泵房、蓄水池、化粪池)等办公及生活建筑物。场区内用水采用站外拉水，生产和生活电源考虑从场内35kV母线上引接，冬季采暖采用电采暖。 本工程场内生活污水经集成式生物化粪池处理后拉运至污水处理场，场区内设事故油池，事故废油和检修废水经隔油池处理后的油污交由有资质的单位处理，生活垃圾均收入封闭式的垃圾收集点，统一运至垃圾填埋场。', '项目总投资180000万元。']",规划建设200MW风电场，安装80台单机容量为2500kW的WTG90-2500型风力发电机组。,['乌鲁木齐金风天润风电有限公司'],新疆维吾尔自治区乌鲁木齐市乌鲁木齐县和达坂城区境内,电力,电力
大唐伊吾淖毛湖200兆瓦风电场项目,"['该项目位于新疆维吾尔自治区哈密地区伊吾县淖毛湖镇，由大唐新疆发电有限公司投资建设，本工程拟安装100台单机容量为2000kW的WTG87-2000型风力发电机组，配套安装100台容量为2350kVA的油浸式三相双卷自冷式升压变压器；在风电场区东北侧新建一座220kV升压站，分为办公生活区和升压站配电区，生产区主要布置35kV 配电装置室、主变压器、GIS 室、等高压配电构筑物、SVC 电容补偿装置区、事故油池等送配电建、构筑物；生活区主要布置生产综合楼、附属用房（综合水泵房、蓄水池、化粪池）等办公及生活建、筑物。场区内用水从淖毛湖镇拉水，生产和生活电源考虑从场内35kV母线上引接，冬季采用电采暖。本工程场内生活污水经一体化处理系统处理后冬储夏灌，场区内设事故油池，事故废油和检修废水经隔油池处理后的油污交由有资质的单位处理，生活垃圾设垃圾桶，定点袋装收集后送至垃圾填埋场处置。', '项目总投资180000万元。']",本工程拟安装100台单机容量为2000kW的WTG87-2000型风力发电机组，配套安装100台容量为2350kVA的油浸式三相双卷自冷式升压变压器。,['大唐新疆发电有限公司'],新疆维吾尔自治区哈密地区伊吾县淖毛湖镇,电力,电力
清水河330千伏变电站2号主变扩建工程,"['该项目位于宁夏回族自治区银川市，由宁夏电力公司投资建设， 清水河330kV变电站本期在变电站内扩建2号主变压器1台，容量240MVA；2号主变低压侧装设低压电容器1×20 Mvar，低压电抗器1×30 Mvar。', '项目总投资1000万元。']",清水河330kV变电站本期在变电站内扩建2号主变压器1台，容量240MVA；2号主变低压侧装设低压电容器1×20 Mvar，低压电抗器1×30 Mvar。,['宁夏电力公司'],宁夏回族自治区银川市,电力,电力
新山铝产业示范园煤电铝一体化项目,"['该项目位于广西壮族自治区百色市田阳县新山铝产业示范园内，建设规模为年产铝板带箔材20万吨，直供加工用铝水20万吨，配套建设2台15万千瓦机组动力车间。建设内容包括配套动力车间、220千伏变电站、铝水车间、熔铸车间、热轧车间、冷轧车间、箔轧车间、精整车间、中厚板车间、动力车间、公用辅助设施及行政生活设施等。主要装备有：热电厂2台150兆瓦发电机组，220千伏开关站主变压器及整流变压器，420千安电解槽178台，熔铸设备，热轧机组，冷轧机组，箔轧机组，预拉伸机组，拉弯矫直机、分切机组，轧辊磨床、时效炉、成品退火炉等，主要生产产品为高档铝箔坯料、铝合金板、建筑装饰板、交通运输板、中厚板、建筑涂层板、热轧卷、双零箔等铝合金板带箔20万吨。', '项目总投资27.6亿元。']",建设规模为年产铝板带箔材20万吨，直供加工用铝水20万吨，配套建设2台15万千瓦机组动力车间。,['广西苏源投资股份有限公司'],广西壮族自治区百色市田阳县新山铝产业示范园内,"电力,冶金",电力
阳江市220千伏旗鼓岭输变电工程,"['该项目位于广东省阳春市潭水镇新风村，由 广东电网公司投资建设，（一）最终规模为3台18万千伏安主变压器，本期工程建设1台18万千伏安变压器，同时装设相应容量的无功补偿电容器及其它附属设备；（二）500千伏蝶岭站扩建2个220千伏出线间隔及附属设备，110千伏永宁站、山坪站各扩建1个110千伏间隔及附属设备；（三）220千伏最终出线6回，本期出线2回，共新建线路长70.6千米；（四）升高改造500千伏线路总长约3.2千米，升高改造220千伏线路总长约5.0千米；（五）110千伏最终出线14回，本期出线8回，新建线路总计长约91.7千米；（六）10千伏最终出线30回，本期出线10回；（七）220千伏及110千伏配电装置采用户外常规设备，建设配套相应的通信光缆及二次系统工程。', '项目总投资34063万元。']",本期工程建设1台18万千伏安变压器，500千伏蝶岭站扩建2个220千伏出线间隔及附属设备，110千伏永宁站、山坪站各扩建1个110千伏间隔及附属设备；220千伏最终出线6回，本期出线2回，共新建线路长70.6千米；升高改造500千伏线路总长约3.2千米，升高改造220千伏线路总长约5.0千米；110千伏最终出线14回，本期出线8回，新建线路总计长约91.7千米；10千伏最终出线30回，本期出线10回。,['广东电网公司'],广东省阳春市潭水镇新风村,电力,电力
云梦沙河110千伏输变电工程,"['该项目位于湖北省孝感市云梦县，由湖北省电力公司孝感供电公司投资建设，建设内容及规模 ①主变：终期3×50.0MVA，本期新增1×50.0MVA，采用三相三圈有载调压变压器。 ②梦泽-沙河变110kV线路，线路全长(2×3.5+10）km，单双回设计，导线采用LGJ-300/40,地线为OPGW-24B1/GJ-80。 ③梦泽-西城π入沙河变110kV线路，线路全长为（1.7+1.2）km，单回路设计，导线型号LGJ-300/40型，地线采用双根GJ-80普通地线。', '项目总投资2000万元。']",①主变：终期3×50.0MVA，本期新增1×50.0MVA。 ②梦泽-沙河变110kV线路，线路全长(2×3.5+10）km。 ③梦泽-西城π入沙河变110kV线路，线路全长为（1.7+1.2）km。,['湖北省电力公司孝感供电公司'],湖北省孝感市云梦县,电力,电力
江门台山红岭站第二台主变扩建工程,"['该项目位于广东省江门市，由广东电网公司江门供电局投资建设，扩建主变一台4万千伏安主变压器。', '项目总投资1000万元。']",扩建主变一台4万千伏安主变压器。,['广东电网公司江门供电局'],广东省江门市,电力,电力
220千伏四黎输变电工程,"['该项目位于广东省深圳市，由深圳供电局有限公司投资建设，建设规模： （1）220千伏四黎变电站最终建设规模为4台24万千伏安主变压器，本期建设2台，同时装设相应容量的无功补偿电容器及其它附属设备。（2）220千伏最终出线6回，本期出线4回，备用2回。（3）110千伏最终出线14回，本期出线8回，备用6回。（4）10千伏最终出线30回，本期建设20回。（5）本站按半户内GIS综合楼布置，主变与开关楼主体相连。220、110千伏配电装置采用户内GIS设备，220千伏母线采用双母线接线方式，110千伏母线采用双母双分段接线方式，10千伏采用单母线分段接线方式。（6）光纤通信工程。（7）对侧间隔调整工程。', '项目总投资10000万元。']",建设220千伏四黎变电站最终建设规模为4台24万千伏安主变压器，本期建设2台，同时装设相应容量的无功补偿电容器及其它附属设备。20千伏最终出线6回，本期出线4回，备用2回。,['深圳供电局有限公司'],广东省深圳市,电力,电力
废弃炉渣与低品位锗矿综合利用工程,"['该项目位于云南省临沧市临翔区忙畔乡邦卖村，由云南临沧鑫圆锗业股份有限公司投资建设，项目占地：项目占地面积116.85亩。项目建设内容及规模：建设一条炉渣火法富集锗烟尘的生产线，物料处理量为60000吨/年，包括：炉料准备系统、10台套自动链式密闭炉、冷却及收尘系统、尾气脱硫装置及配套设施，年产布袋烟尘350吨（烟尘中含锗1.5%，锗金属量5250千克/年）；配套建设一座烟气废热发电站，装机容量3000千瓦，实际发电功率2200千瓦，包括：6台余热锅炉、蒸汽蓄热系统、余热电站内的1台凝汽式饱和蒸汽汽轮机及配套设施，1台同步发电机组及配套设施；余热电站循环冷却水系统及软化水系统；余热电站专用调节自动控制系统；余热电站内的10.3kV配电及变压器等系统，烟气废热发电量1584万度/年，输出电量1267.2万度/年。', '项目总投资8281万元。']",建设一条炉渣火法富集锗烟尘的生产线，物料处理量为60000吨/年，配套建设一座烟气废热发电站，装机容量3000千瓦，实际发电功率2200千瓦。,['云南临沧鑫圆锗业股份有限公司'],云南省临沧市临翔区忙畔乡邦卖村,电力,电力
牛首山330千伏升压站扩建工程,"['该项目位于宁夏回族自治区吴忠市利通区沙坝沟村，由国电电力宁夏风电开发有限公司投资建设，牛首山330kV升压站扩建工程，本期建设1×240MVA+1×360MVA两台主变压器。扩建240MVA主变35kV侧远景配置3×12Mvar并联电容器，扩建360MVA主变35kV侧远景配置3×12Mvar并联电容器。', '项目总投资6441万元。']",牛首山330kV升压站扩建工程，本期建设1×240MVA+1×360MVA两台主变压器。扩建240MVA主变35kV侧远景配置3×12Mvar并联电容器，扩建360MVA主变35kV侧远景配置3×12Mvar并联电容器。,['国电电力宁夏风电开发有限公司'],宁夏回族自治区吴忠市利通区沙坝沟村,电力,电力
荆州楚都220千伏变电站扩建（Ⅲ期）工程,"['该项目位于湖北省荆州市沙市区岑河镇，由湖北省电力公司荆州供电公司投资建设， ①扩建220kV主变压器1台，容量为180MVA。 ②扩建主变进线220kV间隔1个。 ③扩建110kV主变间隔1个，出线间隔2个。 本期扩建工程不需另外增地。', '项目总投资1000万元。']",①扩建220kV主变压器1台，容量为180MVA。 ②扩建主变进线220kV间隔1个。 ③扩建110kV主变间隔1个，出线间隔2个。,['湖北省电力公司荆州供电公司'],湖北省荆州市沙市区岑河镇,电力,电力
东昊新型建材项目,"['该项目位于河南省洛阳市洛宁县东宋镇周村，占地37亩，年产6000万块烧结砖。主要工程内容包括：新建109×7.54×2.89米的烧结隧道窑2 条，109×6.41×2.89米烘干隧道窑2条，71×6.35×2.98米的预烘干隧道窑3条，新建原料库、陈化库、破碎车间、制砖车间、配电房、成品堆场、办公楼、职工宿舍等土建设施；同时新上装载机、板式给料机、锤式破碎机、箱式给料机、圆辊筛、双轴搅拌机、双级真空挤出机、自动切环机、全自动烧结码坯装置、推车机泵站、螺杆式空气压缩机、变压器、带式给料机、引风机等生产及配套设备，环保工程主要为脱硫除尘设施一套及20米排气筒一根、袋式除尘器1套及15米排气筒一根，生活污水收集池等。主要原料为煤矸石、页岩、粉煤灰。', '项目总投资1600万元。']",年产6000万块烧结砖。,['洛宁县东昊新型建材厂'],河南省洛阳市洛宁县东宋镇周村,材料,材料制造
咸宁蒲圻二220千伏输变电工程,"['该项目位于湖北省咸宁市，由湖北省电力公司咸宁供电公司投资建设，①新建蒲圻二220kV变电站：拟建站址位于赤壁市西南7.5km的八王庙村一组马家湾村，本期1×180MVA，电压等级为220/110/10kV，采用有载调压变压器。②本站220kV出线终期6回，本期4回。至220kV汪庄余变电站2回、220kV鹿门变电站1回、蒲圻电厂1回，具体为：将汪庄余-蒲圻电厂Ⅰ回220kV线路“π”入蒲圻二变，形成蒲圻二-汪庄余220kV（I回）线路19km，新建7.4km，其中单回线路0.1km，双回线路7.3km；蒲圻二-蒲圻电厂220kV线路10.0 km，新建7.5km，其中单回线路0.3km，双回线路7.2km。导线均为2×JLA/G1-300/40。③本站110kV出线终期12回，本期6回（德力西线路由用户投资）。至110kV荆泉变、丰才变、德力西用户变、车埠变、赵李桥变各1回，至220kV汪庄余变1回。具体为：将汪庄余-赵李桥110kV线路“π”入赤壁蒲圻二变，形成蒲圻二-汪庄余110kV线路，新建双回线路2.8km，双回塔单挂线路3.5km。蒲圻二-荆泉110kV线路线路长度11.6 km。其中双回10.0 km,三回1.6km。新建蒲圻二-丰才110kV线路线路长度13.2km。其中双回9.6 km,三回1.6 km，单回2.0km。新建蒲圻二-车埠110kV线路12.4 km，其中单回部分长度为9.6 km，双回部分长度2.8km。', '项目总投资8000万元。']",①新建蒲圻二220kV变电站。②本站220kV出线终期6回，本期4回。③本站110kV出线终期12回，本期6回。,['湖北省电力公司咸宁供电公司'],湖北省咸宁市,电力,电力
黄冈麻城城南110千伏输变电工程,"['该项目位于湖北省黄冈麻城市，由湖北省电力公司黄冈供电公司投资建设，①新建110kV城南变电站，站址位于闵家垱，经济开发区规划道路旁。本期新建1台50MVA主变压器；②新建鄢河-城南110kV 线路，线路全长29.8km。线路从鄢河220kV变电站向东出线后，与拟建的鄢河-铁门Ⅱ回110kV 线路同塔双回向东走线，经周家河至拜郊城左转，向东偏北走线，经柏树湾至罗家敦左转，跨越鄢河-大中驿110kV 线路向东南走线至杨家，跨越鄢河-电厂、小中驿35kV 线路继续向东南走线，线路跨越宋埠至麻城公路和举水河，向东南走线至四角门，线路双回到此为止，本工程线路分支后向东单回走线，经屈家湾、梅家河沟至陈万顺，跨越大广北高速公路后左转，向东偏北走线，经范家大湾至孙成集附近，跨越京九铁路继续向东偏北走线至刘家河坎左转，向北走线，经陈家敦至漪霞湾北侧，跨越举水河后，沿着规划兴发路西侧向北走线，经入拟建的城南110kV 变电站；③新建闵集-城南110kV 线路，线路全长13.0km。从闵集变向东偏北出线后左转，向西北走线，经马家岗至冯家李，穿越500kV 龙政线，继续向西北走线至另家寨，穿越500kV 宜华线，左转向东走线至王家祠堂，跨越麻白公路，继续向东走线至见生湾，跨越麻城-白果35kV线路和麻城-秦家里110kV 线路，向东走线至上查家院右转，向北走线，经陈家敦至漪霞湾北侧，跨越举水河后，沿着规划兴发路西侧向北走线，经入拟建的城南110kV 变电站。④扩建鄢河220kV 变电站一个出现间隔，本期扩建利用城南备用间隔。', '项目总投资5000万元。']",①新建110kV城南变电站。②新建鄢河-城南110kV 线路，线路全长29.8km。③新建闵集-城南110kV 线路，线路全长13.0km。④扩建鄢河220kV 变电站一个出现间隔，本期扩建利用城南备用间隔。,['湖北省电力公司黄冈供电公司'],湖北省黄冈麻城市,电力,电力
咸宁金桂路110千伏输变电工程,"['该项目位于湖北省咸宁市咸安区 ，由湖北省电力公司咸宁供电公司投资建设，建设内容及规模 ①新建110kV金桂路变电站，变电站主变压器规模终期2×50MVA，本期1×50MVA，变电站主变压器和GIS户内布置。 ②新建110kV输电线路3.45km，其中电缆0.15km，线路路径从110kV金桂路变电站电缆出线后，采用双回路钢管杆架设，“π”接入浮文线。', '项目总投资1000万元。']",建设内容及规模 ①新建110kV金桂路变电站，变电站主变压器规模终期2×50MVA，本期1×50MVA，变电站主变压器和GIS户内布置。 ②新建110kV输电线路3.45km，其中电缆0.15km，线路路径从110kV金桂路变电站电缆出线后，采用双回路钢管杆架设，“π”接入浮文线。,['湖北省电力公司咸宁供电公司'],湖北省咸宁市咸安区,电力,电力
桦南县三凌山风电场工程（更新）,"['该项目位于黑龙江省佳木斯市桦南县西北30千米处，装机规模为48兆瓦，拟安装24台单机容量2000千瓦风力发电机组，每台机组配一台箱式变压器，新建一座220千伏升压变电站、35千米的220千伏集电线路和20.7千米的35千伏集电线路以及12.85千米风电场道路。 该项目由中国电力技术装备有限公司投资，中电装备桦南县风电有限责任公司负责建设。', '项目总投资40669万元。']",总装机容量4.8万兆瓦。,['中国电力技术装备有限公司'],黑龙江省佳木斯市桦南县西北30千米处,电力,电力
钟祥南湖110千伏输变电工程,"['该项目位于湖北省荆门钟祥市，建设内容及规模： ①新建110千伏南湖变电站，本期新上1台50MVA主变压器、110千伏出线1回； ②新建南湖-郢中单回110千伏线路，线路长度为17千米；③扩建220千伏郢中变电站110千伏出线间隔1个。', '项目总投资5000万元。']",新建110千伏南湖变电站、南湖-郢中单回110千伏线路长17千米，扩建220千伏郢中变电站110千伏出线间隔1个。,['湖北省电力公司荆门供电公司'],湖北省荆门钟祥市,电力,电力
桦南县大秃山风电场工程（更新）,"['该项目位于黑龙江省佳木斯市桦南县西北30千米处，由中国电力技术装备有限公司投资，中电装备桦南县风电有限责任公司负责建设，总装机容量为48兆瓦，拟安装24台单机容量2000千伏风力发电机组，每台机组配一台箱式变压器，利用其它风电场的220千伏升压变电站，拟新建27.14千米集电线路以及13.95千米风电场道路。', '项目总投资38536万元。']",总装机容量48兆瓦。,['中国电力技术装备有限公司'],黑龙江省佳木斯市桦南县西北30千米处,电力,电力
桦南县五道岗风电场工程（更新）,"['该项目位于黑龙江省佳木斯市桦南县西北30千米处，由中国电力技术装备有限公司投资，中电装备桦南县风电有限责任公司负责建设，总装机容量为48兆瓦，拟安装24台单机容量2000千瓦风力发电机组，每台机组配一台箱式变压器，利用其它风电场的220千伏升压变电站，拟新建22.5千米集电线路以及12.66千米风电场道路。', '项目总投资36829万元。']",总装机容量48兆瓦。,['中国电力技术装备有限公司'],黑龙江省佳木斯市桦南县西北30千米处,电力,电力
桦南县狐狸洞山风电场工程（更新）,"['该项目位于黑龙江省佳木斯市桦南县西北30千米处，由中国电力技术装备有限公司投资，中电装备桦南县风电有限责任公司负责建设。总装机容量4.8万兆瓦，拟安装24台单机容量2000千伏风力发电机组，每台机组配一台箱式变压器，利用其它风电场的220千伏升压变电站，拟新建22.5千米的35千伏集电线路以及12.66千米风电场道路。', '项目总投资37064万元。']",总装机容量4兆瓦。,['中国电力技术装备有限公司'],黑龙江省佳木斯市桦南县西北30千米处,电力,电力
500千伏花都变电站扩建工程,"['该项目位于广东省广州市花都区，由中国南方电网有限责任公司投资建设，扩建1×1000MVA自耦变压器 (站内编号4号)，无线路扩建内容。', '项目总投资1000万元。']",扩建1×1000MVA自耦变压器 (站内编号4号)，无线路扩建内容。,['中国南方电网有限责任公司'],广东省广州市花都区,电力,电力
